ctr-runtime,node,name,filename,ioengine,readwrite,direct,ramp_time,runtime,time_based,size,bs,numjobs,iodepth,op,BW,IOPS,BW (MB/s)
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,1,1,read,119MiB/s,950,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,2,1,read,120MiB/s,957,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,4,1,read,118MiB/s,943,120.83200000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,1,1,read,56.5MiB/s,3616,57.856
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,2,1,read,72.6MiB/s,4645,74.3424
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,4,1,read,78.3MiB/s,5008,80.1792
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,1,1,read,4984KiB/s,4984,4.984
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,2,1,read,6326KiB/s,6326,6.3260000000000005
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,4,1,read,6313KiB/s,6313,6.313
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,1,1,read,118MiB/s,473,120.83200000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,2,1,read,120MiB/s,478,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,4,1,read,120MiB/s,478,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,1,1,read,9840KiB/s,4920,9.84
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,2,1,read,12.3MiB/s,6309,12.5952
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,4,1,read,12.2MiB/s,6265,12.492799999999999
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,1,1,read,93.7MiB/s,2999,95.9488
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,2,1,read,113MiB/s,3602,115.712
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,4,1,read,115MiB/s,3680,117.76
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,1,1,read,18.7MiB/s,4788,19.1488
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,2,1,read,23.0MiB/s,5897,23.552
